epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,,,
121,2714.2,0.85077,0.50356,0.835,0.87289,0.68939,0.77006,0.59839,0.88853,0.48739,0.86605,0.00208,0.00208,0.00208,,,
122,2778.03,0.8461,0.50261,0.83399,0.87847,0.68483,0.77099,0.59463,0.92307,0.49247,0.87133,0.002014,0.002014,0.002014,,,
123,2841.87,0.84759,0.50196,0.83681,0.87873,0.68253,0.77184,0.59663,0.92186,0.49044,0.87037,0.001948,0.001948,0.001948,,,
124,2905.69,0.84082,0.50005,0.83418,0.86567,0.69191,0.7658,0.59522,0.92166,0.48998,0.8708,0.001882,0.001882,0.001882,,,
125,2969.49,0.84357,0.50145,0.83687,0.86559,0.69646,0.76307,0.59358,0.92778,0.48956,0.87204,0.001816,0.001816,0.001816,,,
126,3033.24,0.83409,0.49357,0.8339,0.87094,0.70223,0.77209,0.59381,0.94022,0.49279,0.87394,0.00175,0.00175,0.00175,,,
127,3097.03,0.83517,0.4945,0.83428,0.87144,0.70534,0.77332,0.59595,0.90431,0.48528,0.86855,0.001684,0.001684,0.001684,,,
128,3160.85,0.83013,0.49413,0.83216,0.87194,0.70332,0.77256,0.59382,0.90876,0.48618,0.86934,0.001618,0.001618,0.001618,,,
129,3224.72,0.82829,0.49342,0.83264,0.87161,0.69981,0.76564,0.59271,0.92606,0.489,0.87191,0.001552,0.001552,0.001552,,,
130,3288.55,0.82679,0.48885,0.83125,0.87964,0.69645,0.77714,0.59261,0.93445,0.49094,0.8733,0.001486,0.001486,0.001486,,,
131,3352.32,0.81696,0.48363,0.83159,0.87766,0.69454,0.78035,0.59508,0.91545,0.48723,0.86993,0.00142,0.00142,0.00142,,,
132,3416.15,0.8168,0.48254,0.83095,0.86951,0.70074,0.77758,0.59279,0.92132,0.48866,0.87074,0.001354,0.001354,0.001354,,,
133,3480.01,0.82085,0.48682,0.83012,0.87821,0.69001,0.77828,0.59371,0.9209,0.48908,0.87105,0.001288,0.001288,0.001288,,,
134,3543.86,0.83304,0.49426,0.83095,0.87889,0.69703,0.78052,0.5956,0.91081,0.48583,0.86963,0.001222,0.001222,0.001222,,,
135,3607.7,0.82603,0.48757,0.83123,0.87705,0.68872,0.77398,0.59398,0.9274,0.4893,0.87177,0.001156,0.001156,0.001156,,,
136,3671.53,0.81724,0.48129,0.8302,0.87377,0.69173,0.77634,0.59307,0.93226,0.48898,0.87233,0.00109,0.00109,0.00109,,,
137,3735.37,0.8219,0.48329,0.83086,0.86373,0.70425,0.77895,0.59628,0.91192,0.48502,0.86913,0.001024,0.001024,0.001024,,,
138,3799.18,0.81685,0.48197,0.83,0.86195,0.70041,0.77217,0.59475,0.92481,0.48686,0.87088,0.000958,0.000958,0.000958,,,
139,3862.99,0.80867,0.47607,0.82996,0.86913,0.70116,0.78203,0.59728,0.91075,0.48556,0.86878,0.000892,0.000892,0.000892,,,
140,3926.77,0.81186,0.47912,0.82908,0.86447,0.71096,0.78327,0.59784,0.91303,0.48521,0.86918,0.000826,0.000826,0.000826,,,
141,3991.71,0.76163,0.42534,0.82874,0.90949,0.66838,0.77404,0.60474,1.05569,0.57509,0.90616,0.00076,0.00076,0.00076,,,
142,4054.65,0.73657,0.41411,0.82372,0.90951,0.62897,0.74754,0.58733,1.08318,0.62029,0.91458,0.000694,0.000694,0.000694,,,
143,4117.61,0.72591,0.41049,0.82286,0.91353,0.63257,0.75323,0.59231,1.06962,0.61101,0.9115,0.000628,0.000628,0.000628,,,
144,4180.6,0.72236,0.40795,0.82223,0.9122,0.65234,0.76428,0.60195,1.04452,0.58065,0.90531,0.000562,0.000562,0.000562,,,
145,4243.6,0.71352,0.40247,0.8213,0.91668,0.67594,0.77907,0.61268,1.02437,0.55835,0.89899,0.000496,0.000496,0.000496,,,
146,4306.59,0.70891,0.40125,0.81977,0.86669,0.65692,0.74801,0.56342,0.9925,0.53169,0.88998,0.00043,0.00043,0.00043,,,
147,4369.59,0.70773,0.40124,0.81852,0.85994,0.67095,0.75285,0.56644,0.98245,0.51777,0.88639,0.000364,0.000364,0.000364,,,
148,4432.61,0.70335,0.39822,0.81832,0.86366,0.67446,0.76018,0.57062,0.9703,0.50478,0.88277,0.000298,0.000298,0.000298,,,
149,4495.61,0.69359,0.39334,0.81777,0.87287,0.67307,0.76405,0.57597,0.93773,0.4963,0.877,0.000232,0.000232,0.000232,,,
150,4558.59,0.6961,0.39324,0.81697,0.8681,0.67986,0.7689,0.57692,0.92773,0.49058,0.87515,0.000166,0.000166,0.000166,,,
