epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,11689.1,0.62887,0.38264,0.85501,0.94357,0.87911,0.94921,0.77637,0.64063,0.36461,0.85892,0.0033472,0.0033472,0.0033472
86,11824.6,0.62267,0.38107,0.85227,0.93223,0.89303,0.94976,0.77297,0.638,0.36273,0.85739,0.003268,0.003268,0.003268
87,11964.7,0.62177,0.37866,0.85138,0.92782,0.90503,0.9501,0.7727,0.63702,0.36278,0.85749,0.0031888,0.0031888,0.0031888
88,12100.1,0.62674,0.38083,0.85274,0.93521,0.90511,0.95126,0.77739,0.63818,0.36141,0.85662,0.0031096,0.0031096,0.0031096
89,12240.1,0.61534,0.37501,0.851,0.93796,0.90329,0.95239,0.77536,0.6399,0.35993,0.85643,0.0030304,0.0030304,0.0030304
90,12377.4,0.61293,0.37421,0.85126,0.95476,0.89157,0.95582,0.77916,0.63603,0.35736,0.85746,0.0029512,0.0029512,0.0029512
91,12513.3,0.61399,0.37414,0.8504,0.95472,0.89368,0.95428,0.77858,0.63394,0.35677,0.85641,0.002872,0.002872,0.002872
92,12650.5,0.60855,0.37009,0.84797,0.94826,0.89216,0.95386,0.78136,0.63093,0.35757,0.85598,0.0027928,0.0027928,0.0027928
93,12787.5,0.61041,0.37015,0.85022,0.94426,0.89195,0.95197,0.7811,0.63211,0.35842,0.85692,0.0027136,0.0027136,0.0027136
94,12925.7,0.60212,0.36756,0.84857,0.91437,0.91184,0.95178,0.78021,0.6312,0.35848,0.85459,0.0026344,0.0026344,0.0026344
95,13062.4,0.59908,0.36366,0.84592,0.93256,0.9064,0.95249,0.78256,0.63005,0.35577,0.85492,0.0025552,0.0025552,0.0025552
96,13201.4,0.60089,0.36528,0.8468,0.94215,0.90446,0.95348,0.7823,0.62817,0.35388,0.85567,0.002476,0.002476,0.002476
97,13337.7,0.59502,0.36206,0.84548,0.94822,0.89807,0.95489,0.78308,0.62878,0.35504,0.85536,0.0023968,0.0023968,0.0023968
98,13477,0.59238,0.35997,0.84352,0.9599,0.89118,0.95544,0.78051,0.63003,0.35593,0.85448,0.0023176,0.0023176,0.0023176
99,13613.5,0.5913,0.35993,0.84591,0.95705,0.89027,0.95345,0.77871,0.62845,0.3535,0.85184,0.0022384,0.0022384,0.0022384
100,13753.9,0.58926,0.35941,0.84395,0.93914,0.90732,0.95391,0.78275,0.62738,0.35215,0.85237,0.0021592,0.0021592,0.0021592
101,13889.7,0.58733,0.35707,0.84342,0.94909,0.90231,0.95479,0.7834,0.62541,0.35242,0.8507,0.00208,0.00208,0.00208
102,14029.1,0.58288,0.3537,0.84243,0.94428,0.9094,0.95553,0.78378,0.62453,0.35228,0.84989,0.0020008,0.0020008,0.0020008
103,14168.2,0.57857,0.35161,0.84204,0.94813,0.90394,0.95379,0.78246,0.62241,0.35192,0.85067,0.0019216,0.0019216,0.0019216
104,14304.3,0.57586,0.34934,0.84079,0.9493,0.90814,0.95409,0.78372,0.62074,0.35239,0.85057,0.0018424,0.0018424,0.0018424
105,14444.5,0.57094,0.34923,0.8407,0.94703,0.90504,0.95526,0.78341,0.6203,0.35216,0.85082,0.0017632,0.0017632,0.0017632
106,14581.1,0.5691,0.34532,0.83764,0.93726,0.91514,0.95505,0.78577,0.61983,0.35152,0.85143,0.001684,0.001684,0.001684
107,14719.2,0.56536,0.34449,0.83763,0.93443,0.91197,0.9545,0.78477,0.61919,0.3516,0.85144,0.0016048,0.0016048,0.0016048
108,14859.4,0.56317,0.34412,0.83942,0.93901,0.91396,0.95484,0.78608,0.61857,0.35072,0.85082,0.0015256,0.0015256,0.0015256
109,14995.7,0.56661,0.34528,0.83921,0.94684,0.90319,0.955,0.78618,0.61685,0.35131,0.84942,0.0014464,0.0014464,0.0014464
110,15134.6,0.55606,0.33899,0.836,0.95086,0.90154,0.95509,0.78631,0.6149,0.35029,0.84844,0.0013672,0.0013672,0.0013672
111,15272,0.55468,0.33835,0.83575,0.95409,0.90012,0.95497,0.78711,0.61482,0.35017,0.84782,0.001288,0.001288,0.001288
112,15411.4,0.55003,0.3359,0.83509,0.95179,0.9014,0.95545,0.78718,0.61397,0.34946,0.84682,0.0012088,0.0012088,0.0012088
113,15550.6,0.55087,0.3361,0.8357,0.95551,0.89205,0.95544,0.78491,0.61361,0.34919,0.84692,0.0011296,0.0011296,0.0011296
114,15686.8,0.54668,0.33265,0.83381,0.9375,0.90531,0.95329,0.7858,0.61363,0.34933,0.84701,0.0010504,0.0010504,0.0010504
115,15824.7,0.54533,0.33301,0.83295,0.95511,0.89147,0.95314,0.78803,0.61318,0.3492,0.84622,0.0009712,0.0009712,0.0009712
116,15966.3,0.52808,0.31519,0.82367,0.94961,0.9,0.95414,0.78578,0.61494,0.34997,0.84575,0.000892,0.000892,0.000892
117,16102,0.51289,0.30703,0.81858,0.95687,0.89586,0.95413,0.78581,0.61556,0.35026,0.84568,0.0008128,0.0008128,0.0008128
118,16239.2,0.50439,0.30445,0.81864,0.94787,0.89878,0.95406,0.78607,0.61525,0.3496,0.8455,0.0007336,0.0007336,0.0007336
119,16378.3,0.49954,0.30207,0.819,0.94904,0.89545,0.95491,0.78557,0.61452,0.34933,0.84537,0.0006544,0.0006544,0.0006544
120,16513.4,0.49686,0.30047,0.81697,0.94992,0.89447,0.95485,0.78455,0.61281,0.34833,0.84432,0.0005752,0.0005752,0.0005752
121,16649.1,0.49282,0.29791,0.81629,0.95663,0.88896,0.95569,0.78504,0.61197,0.34778,0.84345,0.000496,0.000496,0.000496
122,16784.2,0.49145,0.2977,0.81392,0.96014,0.89146,0.95552,0.78615,0.61166,0.34812,0.84357,0.0004168,0.0004168,0.0004168
123,16923.7,0.48859,0.29474,0.81508,0.95856,0.89266,0.956,0.78635,0.61172,0.34781,0.84373,0.0003376,0.0003376,0.0003376
124,17058.5,0.48279,0.29272,0.81417,0.94899,0.89916,0.95619,0.78652,0.61134,0.34791,0.84354,0.0002584,0.0002584,0.0002584
125,17195.3,0.48135,0.29183,0.81315,0.94781,0.90057,0.95594,0.78666,0.6107,0.34786,0.84322,0.0001792,0.0001792,0.0001792
