epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,5540.25,0.64747,0.42017,0.02244,0.02115,0.76308,0.76301,0.82551,0.63932,0.85985,0.5258,0.02802,0.02711,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,5627.61,0.64057,0.41377,0.02239,0.02121,0.79423,0.75369,0.82747,0.63337,0.90585,0.55557,0.02803,0.02513,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,5715.25,0.64309,0.4128,0.02223,0.02137,0.78478,0.78156,0.83357,0.64572,0.81405,0.49104,0.02794,0.0249,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,5804.47,0.62885,0.40138,0.02202,0.01994,0.83009,0.7759,0.84975,0.67252,0.8264,0.48941,0.0279,0.02545,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,5892.35,0.63406,0.40433,0.02264,0.02041,0.80343,0.78455,0.84068,0.63826,0.8838,0.51128,0.02791,0.02639,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5980.99,0.63005,0.40462,0.0224,0.02039,0.78694,0.78028,0.83779,0.63476,0.88621,0.51184,0.028,0.0255,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,6068.02,0.62793,0.40342,0.02242,0.01955,0.81456,0.7635,0.84005,0.64806,0.85733,0.51254,0.02797,0.02573,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,6154.8,0.63467,0.41196,0.0224,0.02034,0.79121,0.77992,0.8297,0.6282,0.89797,0.55713,0.02792,0.02635,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,6242.65,0.62541,0.40215,0.02221,0.01952,0.80668,0.81506,0.86351,0.67464,0.76144,0.46306,0.02769,0.02507,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,6330.9,0.62876,0.40693,0.0225,0.01956,0.78712,0.76802,0.83854,0.63564,0.89478,0.55875,0.02808,0.0255,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,6419.45,0.62785,0.39964,0.02199,0.02128,0.80732,0.76296,0.8391,0.65013,0.83133,0.48633,0.02788,0.02415,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,6506.93,0.63417,0.40322,0.02236,0.02054,0.79427,0.77459,0.85839,0.67678,0.95587,0.5684,0.02793,0.0261,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,6595.53,0.64684,0.41072,0.02226,0.02,0.81036,0.77905,0.84061,0.65019,0.8519,0.50839,0.02794,0.02444,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
